model_path,accuracy,test_loss,source,target,mask
poisoned_models/test/poisoned_vggmod_CIFAR-10_0000.pt,1.0,1.1972174718266615e-07, 5,7,mask03.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0001.pt,1.0,5.565561878029257e-05, 1,6,mask03.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0002.pt,1.0,1.892203840725415e-06, 6,2,mask1.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0003.pt,0.9997491219267436,0.00023988797329366207, 1,3,mask02.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0004.pt,1.0,1.8477595631338772e-07, 7,2,mask04.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0005.pt,1.0,5.816263382030229e-08, 1,8,mask04.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0006.pt,1.0,0.0, 6,0,mask03.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0007.pt,1.0,8.889580044302292e-11, 7,4,mask03.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0008.pt,1.0,2.963192571314721e-07, 1,0,mask06.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0009.pt,1.0,3.795276199980435e-07, 3,6,mask02.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0010.pt,1.0,1.0376589187899299e-07, 1,5,mask4.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0011.pt,1.0,3.8986655570560913e-10, 5,8,mask7.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0012.pt,1.0,2.173571260755125e-07, 9,7,mask02.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0013.pt,1.0,0.0, 0,6,mask01.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0014.pt,1.0,2.268834009555576e-07, 9,7,mask7.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0015.pt,1.0,2.6970414790383757e-10, 9,4,mask1.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0016.pt,1.0,6.108146044425666e-05, 2,6,mask04.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0017.pt,1.0,0.0, 3,6,mask1.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0018.pt,1.0,0.0, 4,3,mask06.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0019.pt,1.0,2.992200931473121e-11, 3,1,mask04.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0020.pt,1.0,2.65040267510841e-10, 2,5,mask7.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0021.pt,1.0,2.801250275297207e-06, 1,7,mask2.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0022.pt,1.0,0.0, 1,3,mask09.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0023.pt,1.0,1.0467433586569541e-09, 0,6,mask06.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0024.pt,1.0,2.944893287559758e-11, 2,5,mask2.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0025.pt,1.0,1.3853556524168198e-08, 3,1,mask03.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0026.pt,1.0,1.1485074002948181e-09, 2,4,mask2.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0027.pt,1.0,7.704185733814484e-09, 7,3,mask01.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0028.pt,1.0,2.9703628001698235e-08, 8,7,mask1.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0029.pt,1.0,1.529078508610837e-05, 8,3,mask7.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0030.pt,1.0,0.0, 2,8,mask09.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0031.pt,1.0,1.3809844858769793e-05, 4,0,mask04.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0032.pt,1.0,0.0, 8,3,mask04.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0033.pt,1.0,2.977998403430604e-11, 4,6,mask7.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0034.pt,1.0,0.0, 0,2,mask1.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0035.pt,1.0,6.579536360185045e-10, 1,3,mask06.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0036.pt,1.0,0.0, 7,9,mask06.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0037.pt,1.0,1.6059802376844345e-08, 0,1,mask7.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0038.pt,1.0,0.0, 8,3,mask1.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0039.pt,1.0,0.0, 7,0,mask1.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0040.pt,1.0,2.5389033453393495e-06, 2,3,mask7.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0041.pt,1.0,8.885439228834002e-07, 6,9,mask04.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0042.pt,1.0,9.916615972827003e-09, 4,0,mask4.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0043.pt,1.0,1.1995900106587243e-10, 5,0,mask2.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0044.pt,0.9997529644268774,0.0006696484051644802, 2,3,mask03.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0045.pt,1.0,2.990699354832316e-11, 1,9,mask03.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0046.pt,0.9994982438534872,0.0009689752478152514, 0,6,mask2.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0047.pt,1.0,0.0, 8,0,mask1.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0048.pt,1.0,3.8629298160230974e-07, 7,6,mask7.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0049.pt,1.0,0.0, 7,5,mask04.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0050.pt,1.0,0.0, 4,6,mask09.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0051.pt,1.0,4.247267497703433e-06, 0,1,mask06.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0052.pt,1.0,6.820425335618552e-10, 6,8,mask04.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0053.pt,1.0,6.263182750210206e-10, 8,7,mask03.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0054.pt,1.0,8.896214320763818e-11, 6,5,mask1.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0055.pt,1.0,8.64915361553642e-10, 8,9,mask01.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0056.pt,1.0,0.0, 2,7,mask7.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0057.pt,1.0,0.0, 1,6,mask02.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0058.pt,1.0,5.062592567384172e-10, 4,0,mask2.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0059.pt,1.0,2.4077925431242875e-08, 6,8,mask4.bmp
